Partei,lfdnr,familienname,vorname,titel,Geb.,Beruf,PLZ,ORT,LPL,RPL
NEOS,47,Ableidinger,Clemens,\N,1988,Parlamentarischer Mitarbeiter,1190,Wien,9,9E
NEOS,48,Mittelbach,Stephan,Mag.,1980,Angestellter,1040,Wien,9,9A
NEOS,49,Hufnagl,Markus,\N,1970,Geschäftsführer,4600,Wels,4,4C
NEOS,50,Klambauer,Andrea,Mag (FH),1977,HR-Managerin,5630,Bad Hofgastein,5,5C
NEOS,51,Gasser,Johannes Gerhard,"BA, Bakk.",1991,Volkswirt,6881,Mellau,8,8A
NEOS,52,Rausch-Mosshammer,Anna,\N,1968,Unternehmer,5152,Dorfbeuern,5,5B
NEOS,53,Hofmann,Herbert,\N,1956,Angestellter,1110,Wien,9,9D
NEOS,54,Baftiaj,Marta,\N,1997,Studentin,8020,Graz,6,6A
NEOS,55,Reininghaus,Sabine,\N,1960,Unternehmensberaterin,8010,Graz,6,6A
NEOS,56,Werner,Katharina,MMag.,1985,Unternehmerin,4452,Ternberg,4,4D
NEOS,57,Breitenlacher,Birgit,\N,1961,Mediatorin,1040,Wien,3,3D
NEOS,58,Schuster,Michael,MMag.,1980,Unternehmer,2345,Brunn am Gebirge,3,3F
NEOS,59,Wallner,Johanna,\N,1995,Studentin,1060,Wien,9,9B
NEOS,60,Gutmann,Alexander,Mag. (FH),1981,Unternehmensberater,2486,Pottendorf,3,3F
NEOS,61,Kirchdorfer,Dominik,MSc. MLitt.,1991,Unternehmer,1060,Wien,9,9B
NEOS,62,Mitterer,Stephan,MBA,1992,Unternehmer,2345,Brunn am Gebirge,3,3F
NEOS,63,Trummer,Uwe Matthias,Mag.,1975,Geschäftsführer,8330,Feldbach,6,6B
NEOS,64,Corn,Rainer,Mag. (FH)  MA,1979,Vertriebsleiter,80799,München,8,8B
NEOS,65,Höfer,Elisabeth,\N,1968,Geschäftsführerin,8403,Lang,6,6C
NEOS,66,Kainz,Katharina,\N,1993,Studentin,1130,Wien,9,9E
NEOS,67,Lang,Ella,Dipl.-Ing.,1974,Architektin,1180,Wien,9,9F
NEOS,68,Alge,Wieland,Dr.,1970,Geschäftsführer,6020,Innsbruck,7,7A
NEOS,69,Oppitz,Jakob,\N,1996,Student,1160,Wien,4,4C
